91,KAKA TUA : MERPATI = ….. : …..,Anjing : Herder,Gurame : Kakap,Gajah : Semut,Singa : Naga,Elang : Kupu-kupu,B,KAKA TUA : MERPATI (kelompok burung) Gurame : Kakap (kelompok ikan),,,,,,,,,,,1,1,5
92,BELAJAR : PANDAI = ….. : …..,Cetak : Kertas,Berpikir : Arif,Potret : Kamera,Litografi : Batu,Cetak : Tinta,B,BELAJAR : PANDAI (agar pandai harus banyak belajar) BERPIKIR : ARIF (agar arif harus banyak berpikir),,,,,,,,,,,1,1,5
93,KAMPUNG : SAWAH = ….. : …..,Kampus : Perpus,Kota : Gedung,Sawah : Padi,Bumbu : Dapur,Reserse : Polisi,B,KAMPUNG : SAWAH (sawah hanya sering dijumpai di kampung ) KOTA : GEDUNG (gedung hanya sering dijumpai di kota),,,,,,,,,,,1,1,5
94,JANJI : BUKTI = ….. : …..,Ucapan : Tindakan,Maling : Penjara,Materi : Soal,Harta : Kendaraan,Tuan : Tuhan,A,JANJI : BUKTI (janji harus disertai/ perlu bukti) UCAPAN : TINDAKAN (ucapan harus disertai tindakan),,,,,,,,,,,1,1,5
95,SUNGAI : JEMBATAN = ….. : …..,Markah : Jalan,Rintangan : Godaan,Janji : Tepati,Kayu : Terbakar,Masalah : Jalan Keluar,E,"SUNGAI : JEMBATAN (agar bisa melewati sungai, harus mencari jembatan) MASALAH : JALAN KELUAR (agar bisa melalui mesalah, harus mencari jalan keluar)",,,,,,,,,,,1,1,5
96,MATAHARI : TERANG = ….. : …..,Mendidih : Air,Membeku : Dingin,Lampu : Sinar,Air : Hujan,Api : Panas,E,MATAHARI : TERANG (ada matahari menjadikan terang) API : PANAS (ada api menjadikan panas),,,,,,,,,,,1,1,5
97,UMUM : LAZIM = ….. : …..,Kurus : Gemuk,Langsing: Ramping,Lapar : Haus,Garam : Asin,Cinta : Tinta,B,UMUM : LAZIM (umum sama artinya dengan lazim) LANGSING : RAMPING (langsing juga berarti ramping),,,,,,,,,,,1,1,5
98,SISWA : BELAJAR = ….. : …..,Santri : Garam,Ayah : Ibu,Ilmuwan: Meneliti,Guru : Murid,Karyawan: Bekerja,C,SISWA : BELAJAR (siswa tugas utamanya belajar) Ilmuwan : Meneliti (ilmuwan tugas pokoknya meneliti),,,,,,,,,,,1,1,5
99,AIR : ES = UAP : ……,Air,Udara,Basah,Mendidih,Awan,A,AIR : ES (air didinginkan menjadi es) Air (uap didinginkan menjadi air),,,,,,,,,,,1,1,5
100,APOTEKER : OBAT = ….. : …..,Pesawat : Penyakit,Koki : Masakan,Montir : Rusak,Mentor : Dril,Psikiater: Ide,B,APOTEKER : OBAT (apoteker membuat resep obat) Koki : Masakan (koki membuat resep masakan),,,,,,,,,,,1,1,5
101,PILOT : PESAWAT = ….. : …..,Masinis : Kapal,Kusir : Kereta,Nelayan : Kapal,Motor : Truk,Supir : Mobil,E,PILOT : PESAWAT (pilot mengemudikan pesawat) Supir : Mobil (sopir mengemudikan mobil),,,,,,,,,,,1,1,5
102,GELOMBANG : OMBAK = ….. : …..,Gunung : Bukit,Berenang: Lari,Danau : Laut,Nusa : Pulau,Nadir : Zenit,A,"GELOMBANG : OMBAK (gelombang besar, jika kecil disebut ombak) Gunung : Bukit (gunung besar, yang lebih kecil namanya bukit)",,,,,,,,,,,1,1,5
103,DESIBEL : SUARA = ….. : …..,Are : Jarak,Warna : Merah,Suhu : Temperatur,Volt : Listrik,Kalori : Berat,D,DESIBEL : SUARA (desibel adalah satuan suara) Volt : Listrik (volt adalah satuan listrik),,,,,,,,,,,1,1,5
104,KOSONG : HAMPA = ….. : …..,Ubi : Akar,Ribut : Serak,Penuh : Sesak,Siang : Malam,Cair : Encer,E,KOSONG : HAMPA (kosong bersinonim dengan hampa) Cair : Encer (cair sinonimnya encer),,,,,,,,,,,1,1,5
105,SUAP : POLITIK = ….. : …..,Menteri : Presiden,Cabai : Pedas,Generik : Paten,Contek : Ujian,Pemilu : Legislatif,D,SUAP : POLITIK (dalam politik dilarang suap) Contek : Ujian (dalam ujian dilarang contek),,,,,,,,,,,1,1,5
106,SARUNG TANGAN : PETINJU = MIKROSKOP : …,Analis,Dokter,Optalmolog,Bakteriolog,Apoteker,D,SARUNG TANGAN : PETINJU (sarung tangan digunakan secara khusus oleh petinju) Bakteriolog (mikroskop digunakan secara khusus oleh bakteriolog),,,,,,,,,,,1,1,5
107,MATAHARI : BUMI = BUMI : …,Gravitasi,Bulan,Planet,Matahari,Bintang,B,MATAHARI : BUMI (bumi mengelilingi matahari) Bulan (bulan mengelilingi bumi),,,,,,,,,,,1,1,5
